ukprn,kiscourseid,programme,crseurl
10007774,FJ22,Materials Science (4 years),http://www.ox.ac.uk/admissions/undergraduate/courses-listing/materials-science
10007774,GG14,Mathematics and Computer Science (3 or 4 years),http://www.ox.ac.uk/admissions/undergraduate/courses-listing/mathematics-and-computer-science
10007774,GV15,Mathematics and Philosophy (4 years),http://www.ox.ac.uk/admissions/undergraduate/courses-listing/mathematics-and-philosophy
10007774,G100,Mathematics/Mathematics and Statistics,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/mathematics-and-statistics
10007774,H300,Mechanical Engineering (4 years),http://www.ox.ac.uk/admissions/undergraduate/courses-listing/engineering-science
10007774,A100,Medicine,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/medicine
10007774,QT76,Modern Greek and Arabic,https://www.ox.ac.uk/admissions/undergraduate/courses/modern-languages/modern-languages%3A-modern-greek
10007774,R910,Modern Greek and Beginners German,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RR7Y,Modern Greek and Beginners' Czech (with Slovak),https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RR93,Modern Greek and Beginners' Italian,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,QR7R,Modern Greek and Beginners' Russian,https://www.ox.ac.uk/admissions/undergraduate/courses/modern-languages/modern-languages%3A-modern-greek
10007774,QR77,Modern Greek and Czech (with Slovak),https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,QQ74,Modern Greek and Hebrew,https://www.ox.ac.uk/admissions/undergraduate/courses/modern-languages/modern-languages%3A-modern-greek
10007774,QQ71,Modern Greek and Linguistics,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/linguistics
10007774,QT7P,Modern Greek and Persian,https://www.ox.ac.uk/admissions/undergraduate/courses/modern-languages/modern-languages%3A-modern-greek
10007774,QT7Q,Modern Greek and Turkish,https://www.ox.ac.uk/admissions/undergraduate/courses/modern-languages/modern-languages%3A-modern-greek
10007774,W300,Music,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/music
10007774,T613,Persian,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/asian-and-middle-eastern-studies
10007774,VR5R,Philosophy and Beginners' Czech (with Slovak),http://www.ox.ac.uk/admissions/undergraduate/courses-listing/philosophy-and-modern-languages
10007774,RV35,Philosophy and Beginners' Italian,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/philosophy-and-modern-languages
10007774,VR59,Philosophy and Beginners' Modern Greek,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/philosophy-and-modern-languages
